Tab Switches,Window Focus Changes,Copy Events,Cut Events,Paste Events,Full Screen Exits,Risk Level
12,9,8,9,13,2,120.54970515879066
0,0,6,4,0,0,14.45241684341192
6,13,9,6,9,2,101.01817409183582
8,5,7,8,10,2,87.31490187415835
0,3,0,7,6,4,50.38744953431174
11,2,4,6,1,3,68.61480618668377
7,1,8,7,2,3,61.259452982996386
10,6,3,4,5,2,76.3749081101674
18,8,1,4,0,0,83.7345524810509
16,11,5,4,6,0,106.01368122005104
7,2,1,0,0,3,41.47637198496143
2,5,2,5,5,1,44.0536582584699
2,8,7,4,11,4,87.36274133361191
0,1,2,7,6,2,35.17788815193718
4,6,1,7,2,4,62.07982414451203
9,4,5,1,1,2,59.66788188890362
6,4,2,5,0,2,45.552172318705914
8,10,0,9,8,3,97.12126224605298
6,6,2,9,6,4,80.22073084150608
8,8,5,5,4,4,88.82000123104085
7,3,2,2,3,1,43.358530865888746
11,8,8,0,3,1,79.97015253311673
1,14,6,6,0,4,76.96552270022092
0,13,4,9,3,1,68.0499007070933
15,12,1,4,5,1,99.64907523244803
4,10,8,9,4,2,84.01660174217814
2,9,4,4,8,3,73.45723643628973
11,8,6,7,3,2,92.50171418999398
7,12,8,4,10,1,94.76222502517867
2,3,3,4,2,2,36.51469860790241
0,2,8,0,5,2,39.02143840746434
2,1,0,1,1,0,9.347607956449767
4,8,5,4,1,2,57.401466688260115
14,11,1,6,4,2,102.39013685937867
13,1,7,2,3,3,71.76243884660735
2,5,4,0,4,4,54.843634844038085
0,4,2,1,3,0,22.94080877004344
4,13,1,2,0,0,51.57270875251563
13,4,7,8,3,0,76.93553757596693
6,3,6,7,5,0,50.07513381361086
8,5,8,3,3,3,74.74255819394588
14,4,7,7,0,4,91.05695079648858
14,10,3,8,1,3,101.28997507058851
9,3,1,2,1,0,39.389194950078235
12,12,1,5,0,4,99.8585386508163
18,8,1,7,3,3,106.85495041304496
6,12,5,9,5,4,103.21590695210514
16,5,6,6,2,3,98.8889012186068
19,10,5,8,11,4,147.884068041972
3,9,1,6,0,3,59.96179487415062
4,9,3,0,3,0,47.79138038900325
6,12,2,8,0,0,65.40619483865869
12,9,3,4,4,0,78.65982483439548
14,12,4,5,1,3,106.29601107665822
10,2,6,1,1,4,67.27321451117722
3,9,8,1,8,4,85.26312873203379
12,5,1,3,1,1,62.84024683119207
6,13,7,3,2,2,80.19354533893288
18,0,2,4,5,0,70.38515814707618
1,4,8,6,2,0,38.91170356011304
9,9,9,0,9,0,79.68684285905597
12,5,3,9,8,1,87.87829992080277
5,14,2,3,5,1,77.21885377283311
11,10,9,8,10,1,106.63307137920096
11,7,5,7,4,0,77.19122209822426
19,10,9,2,5,4,133.32190605124552
10,14,8,5,2,0,92.28088835356634
6,14,6,8,13,1,107.27491157991751
0,8,3,7,9,1,57.40790152078726
0,10,2,6,7,2,64.40230167779453
19,2,9,6,1,3,95.33570035942111
12,1,3,0,1,2,53.980151557159544
8,12,2,4,1,2,79.07388470321679
2,3,2,6,8,0,35.878917018579045
6,7,8,1,5,3,77.57664440917577
5,10,3,5,8,3,83.12295705375912
7,7,8,1,3,0,58.42808159765861
8,2,9,2,11,4,86.26766649162502
4,3,4,0,2,0,32.417099436358356
0,2,6,2,1,4,37.01569398725434
18,9,4,6,7,4,121.9816294780542
9,1,0,4,3,3,57.95732743202257
11,3,1,3,1,0,46.301010227147586
14,5,4,7,10,0,90.91888648716746
8,10,5,7,8,3,100.2431794002713
19,13,6,0,3,2,112.69594113465683
16,10,1,8,7,0,99.57032645691112
16,4,9,8,7,1,98.47837758656573
19,2,8,1,4,1,81.63174416212152
11,1,5,1,4,0,48.523897447485176
6,8,1,7,6,4,83.84575712025334
1,14,1,5,4,3,75.02303269581746
2,0,2,2,4,4,39.40530886128854
16,8,0,1,0,1,79.09844195745771
4,0,8,4,12,1,52.03634086604078
16,14,9,7,15,3,151.6303034731747
16,13,3,5,4,1,111.1227323790241
16,6,4,2,6,2,98.24866048200536
1,5,6,8,2,1,41.865183902275575
1,6,0,7,3,4,55.91781118819391
4,14,2,9,7,4,102.8141657866278
0,2,2,5,5,2,35.875111234378565
0,13,1,0,1,4,62.70246738915804
18,2,7,1,1,4,90.31870001110202
1,12,4,3,4,4,79.37053840953108
11,10,0,1,1,0,66.39241808305395
5,0,1,2,0,2,29.377884062434546
3,3,0,7,7,2,51.04864016149382
10,11,5,8,6,1,93.97516318599837
16,1,8,5,12,2,100.7016420466286
5,9,6,3,4,3,75.15551462424379
4,7,4,1,2,2,52.31970481766223
19,2,2,6,6,3,100.23391828203754
1,6,7,9,1,4,60.36871405352932
5,6,9,6,7,3,77.59042315839251
10,11,3,9,9,0,96.40545012081083
15,8,8,8,9,4,125.13677881474266
15,5,4,4,4,3,91.90996855944653
0,0,5,9,12,4,57.94240689464667
8,7,4,3,4,0,63.32616556435327
5,0,9,9,7,4,71.64803242383138
15,2,6,5,11,4,107.61613757062366
2,10,6,1,0,2,55.17465124079549
19,4,0,1,1,1,74.16808609261948
3,7,1,8,1,3,58.25799792935831
18,8,6,6,0,1,96.18173299531011
2,14,7,6,11,0,83.67428578953292
18,6,3,4,6,0,93.40009648289143
19,8,5,6,6,4,129.51701783350535
6,10,9,8,13,1,102.38667883791267
19,2,2,9,3,3,98.44429003702123
8,12,6,4,0,3,86.9395436810816
0,4,2,8,9,4,62.56891535816217
7,9,6,0,2,3,72.39099282711355
6,7,7,2,5,2,69.26053363258664
17,11,2,6,5,1,110.4170479191763
7,0,1,3,3,0,35.44627826404987
0,7,5,1,2,3,46.567037386071924
10,6,3,2,5,3,75.0099730306566
17,0,7,6,5,3,90.5382520077754
9,12,1,7,8,4,110.40790822574228
2,12,3,8,5,0,69.34455458131814
6,9,1,5,0,1,59.820082413313614
15,11,1,9,9,3,125.57057042475675
15,9,1,8,5,2,101.10087929265052
19,14,0,3,3,4,126.95722125290197
16,11,3,4,6,1,103.75238072546757
1,5,1,0,1,3,34.86904052774914
0,0,8,8,7,1,41.02819556682233
15,1,8,8,10,4,110.44897437386985
11,4,6,8,11,2,94.49103454256573
4,1,5,2,7,3,51.88975807998016
4,13,2,9,8,2,88.06655036465315
8,9,6,9,2,4,92.77496968797341
8,0,0,9,6,2,57.20625265530111
2,5,8,7,5,4,66.07385585445361
18,7,3,2,1,2,94.84294585701358
15,7,5,5,4,1,90.15217200738267
15,12,5,4,2,1,102.5228316822024
2,12,2,7,4,4,80.77816007589804
19,7,3,2,5,1,99.59443338577461
0,10,9,0,8,2,66.39610157983738
19,5,2,8,7,2,107.3107694283691
10,10,5,9,8,3,109.0840842467239
16,2,0,8,8,4,99.33700353052325
7,0,7,2,7,1,48.59005196860566
3,1,7,1,7,4,55.82314811010456
5,4,8,3,10,1,65.9713500336768
7,12,5,7,10,3,109.14577705134407
19,9,0,5,5,2,112.30510653731895
2,4,2,9,5,2,51.070728907292256
15,9,0,0,0,0,70.9053296706715
2,13,4,7,5,4,87.74339720127662
17,0,2,4,1,1,64.15253298524414
13,0,1,5,5,0,57.2123224514079
17,14,2,4,4,4,130.2833302452313
1,8,8,9,10,1,74.87966871858818
2,1,7,4,11,3,58.37558709500467
15,6,2,2,0,4,86.77594720117177
8,9,1,3,1,1,61.959211150882744
3,3,4,4,0,2,33.73592609982768
0,6,0,1,1,4,39.79437528290617
3,7,3,5,5,1,54.530893988122635
0,4,7,1,7,2,47.35854348088794
13,12,0,3,2,2,93.58234611576509
15,11,4,0,0,0,81.23901115625893
19,11,3,3,6,1,113.21777970436128
7,0,5,6,10,0,53.660992386721084
6,3,6,7,10,0,61.83774820232888
2,9,8,1,5,3,70.17603544132933
16,2,0,2,0,0,53.78365178007614
0,9,9,0,5,0,46.501408789914116
15,14,3,6,1,3,114.20312940870511
11,11,5,3,0,3,87.86879259332464
18,4,9,9,5,4,113.79905944208667
13,9,6,7,9,0,96.6130456807605
5,12,6,4,9,2,90.51457082310246
5,9,7,8,8,3,92.26106163265095
12,12,9,5,4,1,103.10273306878565
18,5,7,9,8,4,127.37583086507819
7,1,7,1,4,4,61.80333023514172
1,6,7,0,1,0,31.872401024657655
0,12,7,0,7,2,68.89918592594331
14,2,5,8,10,3,98.19634706852797
0,14,8,0,2,1,65.76109066319043
4,0,2,2,0,0,17.322702874510064
15,9,5,1,5,2,99.89654853818824
18,2,4,3,4,0,74.10977139416606
3,8,7,0,5,0,52.22084454981014
2,9,3,0,0,4,57.91666395864693
16,10,3,3,6,1,104.42062025587572
16,10,9,3,3,1,104.66016904980299
11,14,9,6,8,1,113.74652354383203
13,5,4,7,0,1,71.86115337427358
5,10,5,7,7,3,88.2558386424622
2,5,3,7,7,3,62.214374087121804
8,3,1,8,8,1,67.33530088161237
4,14,1,0,0,2,67.34527909840241
16,7,2,8,5,3,107.50582190745156
13,4,1,9,4,3,90.0584199609406
2,6,0,7,3,2,43.08752324944635
0,8,7,0,3,1,43.47988285134794
19,12,4,6,6,0,116.97745476177123
0,12,9,8,4,3,79.05554105207804
2,13,0,3,3,0,52.74049855069522
17,4,8,8,2,0,82.76568071927358
9,10,7,0,0,2,74.77734277583149
2,13,3,8,9,1,82.98805410768367
7,4,7,5,12,0,72.94787268460856
13,13,9,3,0,1,95.89574022751859
17,3,6,4,0,4,92.44049015706338
14,5,6,6,9,1,97.11519963043219
1,1,0,9,3,2,29.759865909309532
9,2,5,3,1,2,54.28232803925494
1,0,3,7,6,4,47.57299258161788
16,1,9,2,1,2,76.22003068007358
7,1,9,1,6,1,54.701266788034786
0,7,9,0,7,1,48.804347940676266
8,7,1,5,3,1,61.18836267840518
10,1,9,1,10,2,76.36408268539199
15,12,6,7,7,1,112.19555187780998
6,13,8,9,2,3,98.02353568206655
9,5,4,3,0,4,71.29963631246382
2,14,7,8,9,3,100.48383947941072
17,4,4,3,7,1,89.46142069448058
12,2,6,3,9,2,81.81967687342691
6,4,6,7,9,4,81.25542485969844
3,4,8,7,5,3,63.17099011506736
12,4,2,4,3,1,66.27267788055505
19,2,0,2,2,2,77.60250115088618
0,14,1,1,0,1,50.83621373606853
7,2,5,8,5,3,65.31158554241347
13,3,9,8,7,3,97.93730161967001
15,6,9,4,13,4,128.08370060877456
13,11,8,7,13,2,123.48666872276529
11,11,2,6,2,0,79.55487976744816
18,11,9,2,1,1,103.96407788390971
14,13,1,4,5,2,105.33409196381916
1,1,0,8,0,0,17.00389834347889
1,9,1,3,2,2,47.93874279641974
18,3,2,2,4,1,82.28482027753694
16,3,6,6,5,1,87.11176671735352
19,0,1,7,7,4,100.47096345732002
9,9,4,4,6,3,88.54117481055306
5,7,1,7,5,3,71.97097643699507
14,0,6,4,1,3,71.608267456903
10,7,9,8,11,4,110.34391918398128
4,6,7,6,7,3,72.67094881343336
0,8,7,4,7,2,56.66194223689726
7,7,7,8,10,3,92.26874638743249
11,4,9,4,4,3,82.97324747795925
11,7,8,7,2,1,78.88828871930461
4,13,0,3,3,4,78.93666680789262
6,14,0,8,7,4,106.38114031515155
3,10,9,5,4,3,80.85762664807613
5,9,1,5,2,0,51.8106636244788
12,11,5,2,0,1,83.98707526880504
19,14,0,2,0,3,118.82974570580835
14,11,4,3,3,0,90.6370969831715
2,2,4,0,4,2,35.39785496608379
7,14,3,5,7,1,93.7966461554368
19,9,4,0,4,4,118.33903595991482
15,6,0,3,0,0,64.17381147288518
12,11,5,6,4,3,104.82213549212207
17,3,6,5,4,0,80.0958618378809
9,4,7,7,14,4,106.10494696785418
18,8,1,3,1,2,93.63915589842915
16,6,6,8,2,0,85.29563005738031
18,3,5,9,7,3,110.85336414894327
4,5,8,7,13,0,71.51934203186354
8,9,7,4,5,2,88.42356470126329
11,13,3,5,8,0,95.87551695438708
0,10,8,4,6,2,66.362328141068
0,6,0,5,5,2,47.243935474855654
14,12,5,0,5,1,96.44179925747795
1,9,7,3,10,1,69.63938471585178
15,12,3,8,3,3,112.78508923563085
7,8,1,3,3,3,72.02044712642207
12,3,1,1,2,3,62.71389794706945
0,9,9,5,4,2,62.89025967997662
15,2,0,1,1,2,61.460939021230345
6,7,4,2,6,1,67.05255047402296
4,14,5,6,7,2,89.05673897440897
2,0,3,3,1,1,18.542285982038315
11,8,3,0,2,0,65.67085191260574
15,12,4,8,1,3,111.19808474220652
18,0,4,5,5,3,91.1999067140384
4,1,8,8,3,4,58.778219642668425
13,12,7,2,4,1,97.2240980867949
4,7,8,4,0,4,67.34488258783891
14,8,2,8,5,3,100.56613898607972
16,6,2,5,3,4,101.19273272933498
13,2,0,1,1,0,49.95459703973951
19,6,9,0,7,4,120.90599327998487
4,5,5,8,1,0,45.88656174275651
11,1,3,0,0,3,50.750289560069334
15,2,7,4,8,2,89.27670450828188
15,10,1,0,0,1,80.74586966871257
6,12,1,4,1,4,84.9089053435912
3,11,6,4,7,0,66.83738522332008
0,12,4,6,4,3,67.39653101441968
4,9,0,6,1,3,61.192060986006354
9,9,6,9,4,2,88.67761356522442
4,12,6,0,0,3,65.8870357321447
3,11,9,8,2,3,83.33740504141174
1,14,5,0,3,2,63.86083993562988
19,4,3,4,7,3,107.29204309646417
9,9,7,6,13,0,93.41520654860693
18,3,1,7,0,4,95.61396873461017
0,1,1,1,0,4,25.847692604443687
4,3,1,0,0,0,21.241776690829145
12,11,2,3,3,4,102.05650889331332
3,7,5,3,7,3,66.58539903095851
15,4,0,9,2,4,92.9510929477884
15,4,1,5,4,4,91.23666275032701
1,12,9,0,5,3,73.61079630677987
16,11,1,0,1,4,104.02486257943211
19,11,0,2,1,3,107.22065912802667
11,9,2,4,2,2,80.81821663082667
17,2,9,5,8,2,100.47897009424521
2,12,6,4,7,4,83.38251720256447
0,7,0,4,0,2,38.9826150590752
0,5,6,8,3,4,60.4319562602558
18,1,4,1,1,2,71.29084565086725
10,1,8,0,0,4,58.579135408622705
4,8,1,5,6,1,61.88381325120239
11,12,0,8,3,0,86.1290378170321
2,6,8,6,0,2,52.046069507982786
0,9,7,7,2,3,60.94615239299536
0,8,9,4,6,0,56.25728444748696
7,13,5,9,10,4,115.28999826636894
9,5,4,3,2,0,54.878953082036496
10,14,7,5,0,3,101.90355804367768
11,4,7,2,6,3,85.98586230559472
12,11,4,0,4,4,102.05033459988748
11,0,6,3,5,2,64.63168271134907
13,11,0,8,2,2,95.44574824509183
1,5,3,3,5,1,37.80680122257661
18,5,1,0,0,3,80.56267880712605
17,2,9,3,2,1,80.46515974958795
2,2,2,6,1,3,35.77527381897044
16,14,0,2,1,1,100.10035443062775
7,2,1,9,6,2,61.29750017436831
9,2,0,5,1,3,56.24886739209472
1,6,7,0,2,2,41.294150761075066
18,9,3,3,6,0,102.27308815272272
8,10,2,2,3,2,75.74954219445924
6,1,0,0,0,3,33.63660043387083
3,9,1,2,3,0,49.73709516784453
17,12,2,3,3,1,103.57841736483039
12,9,2,4,0,4,87.53142699868239
10,1,5,5,1,3,60.48329603147634
3,2,9,1,1,4,45.98221827686679
3,9,7,1,2,4,72.31885383537382
9,11,5,5,6,0,86.16089665365837
4,6,1,4,0,1,42.47895914947274
8,2,1,0,1,2,44.302283803705706
2,6,6,2,7,0,50.09668432163274
16,8,0,4,0,1,81.31601157515612
2,10,0,1,1,2,50.04532428695811
15,9,6,0,4,2,95.57621693923201
3,11,8,8,0,1,65.89310289511772
17,14,4,4,3,2,119.50015434633477
16,10,0,1,1,3,90.03771435244683
6,3,4,9,7,3,70.36057844873056
4,6,0,3,3,0,39.92997427954837
11,8,9,2,4,2,88.04496786811725
16,13,8,6,0,2,112.89520734850893
12,7,3,0,2,1,70.77830387761495
2,7,8,9,5,3,70.9845752535839
8,8,1,3,0,4,70.35618508002692
16,13,6,6,3,0,109.76753221257911
16,4,1,9,3,3,95.08529705187439
19,13,3,4,7,1,122.20170180479474
15,4,5,3,3,0,72.4626108606266
12,2,1,3,2,4,72.49197937471409
18,4,1,1,2,0,72.4880686534615
16,7,1,7,4,3,102.66041521374271
3,11,2,3,0,4,68.95113358745348
11,4,4,1,4,1,63.36165956569039
8,3,8,8,8,0,69.23184800536282
18,7,5,9,5,3,114.87011274795076
11,6,8,6,5,1,83.58854863615711
8,14,9,2,10,4,119.05180468717666
6,13,4,6,5,0,78.27855913616948
13,13,5,0,3,2,97.50652826107331
19,5,9,0,3,3,104.06331852191838
18,4,7,3,3,3,99.07706055531288
14,13,2,3,0,2,95.32072707568847
15,4,1,3,3,1,69.6062563595624
4,12,2,8,6,3,83.71104979873708
2,9,8,5,10,1,73.09185402088087
11,1,5,2,1,4,67.01299527884359
19,12,9,5,5,2,133.49994318860192
3,14,3,1,0,1,60.709690309898974
15,3,9,1,6,4,94.74922789684307
6,7,2,6,5,0,58.18616366350745
12,7,1,2,3,3,84.10272979703791
9,10,3,6,3,2,82.43440878299751
6,0,8,2,7,0,46.23720715480178
13,1,3,1,0,0,47.151449426069995
4,4,4,3,0,0,33.69376310904171
2,8,7,3,2,1,54.717711996408084
10,9,1,2,1,3,73.92547218526346
10,10,2,8,2,2,87.79300836601648
17,11,5,5,10,3,130.81059776423737
14,12,6,4,10,3,123.10163893329273
11,10,3,5,1,3,89.39873072615379
8,6,0,7,2,4,77.78194188630309
9,9,6,4,5,4,98.6698919595113
11,4,8,3,8,4,90.19857107761739
16,0,0,6,1,4,75.66032058796834
5,14,0,4,3,3,84.68578847113874
6,14,0,3,0,3,78.55651184443393
13,5,9,4,4,2,87.56397332024554
12,11,6,3,0,2,86.6633470884147
7,7,8,7,12,2,92.50904631540195
9,6,2,7,5,2,73.08358850593217
8,1,7,0,5,2,52.09336504383701
17,11,8,2,4,4,121.48452403320495
1,4,2,3,4,3,42.14380448510732
4,13,2,1,1,2,65.07777306218382
4,10,0,4,3,1,56.11574055587915
5,3,1,7,5,2,55.640912146835205
18,8,6,1,0,2,94.58571158995929
7,9,2,8,0,3,77.85236938437126
15,0,6,6,5,4,88.43204824482208
12,11,4,5,0,0,80.67839731950184
0,5,9,7,3,3,57.14228616279773
19,2,7,1,5,4,100.80431315841442
16,10,4,4,6,1,103.9438188699846
6,8,2,3,4,0,54.99411232611929
12,4,8,7,10,4,106.74488142562166
3,12,6,0,4,4,79.94231102116431
3,5,4,2,0,3,44.70320345210603
5,10,6,9,7,4,97.23811657731862
18,8,9,7,0,2,107.87923216625992
11,8,8,4,10,4,115.10008935708517
6,7,4,3,5,0,57.5362529121918
9,8,6,5,9,4,102.22001669361708
18,3,8,4,7,1,97.25679722091999
6,5,0,2,2,2,47.50119527467428
2,4,3,4,3,0,28.94898079792902
12,4,0,3,2,0,54.97579581655836
12,3,7,0,7,3,84.54419819595549
17,1,2,0,1,3,75.8671034263374
19,11,1,6,0,2,104.64123058853706
7,5,3,3,0,0,44.53215896098693
8,8,2,0,1,1,53.03040399634468
6,11,4,5,4,4,90.71836110966517
0,0,7,0,6,4,42.19871862579331
2,13,9,7,13,4,106.75203994096891
12,6,7,8,9,3,107.00009228626337
16,5,6,2,5,0,86.08767180258185
0,2,7,6,1,0,24.47503933799505
5,0,4,4,0,1,29.881999749953927
5,12,9,2,8,3,98.15823240597382
11,3,9,4,12,1,84.34733593182403
12,14,5,9,14,0,120.59784508475421
12,13,7,6,6,4,120.9212329921616
14,8,0,6,5,3,98.27416420862198
15,14,5,8,5,3,127.66883168852496
10,1,5,7,12,3,85.2934194494395
4,2,4,3,0,4,45.79903917708492
3,1,3,4,7,3,48.32086353009849
2,13,0,4,3,2,64.81639997723877
18,1,9,9,1,3,94.06295707944282
19,9,7,1,0,4,112.07912052305164
17,10,5,6,5,3,115.1981123301448
14,10,2,6,2,2,95.15264981124405
8,7,2,8,10,2,83.08884135556546
16,2,5,8,3,3,92.10111823741484
13,6,6,3,0,0,66.68016431170967
14,7,7,4,5,0,85.96118084256734
0,2,4,6,7,1,37.25358073449609
2,1,9,9,13,2,66.11177244930354
15,12,5,6,9,0,114.72674963119344
10,12,0,9,3,1,85.09700717614544
11,7,5,7,9,0,83.15336615531504
9,2,8,7,14,3,94.23874465332793
15,6,9,1,7,2,98.00824055252136
7,11,3,8,10,0,87.9192478426879
5,0,9,3,9,3,63.83315447948263
11,13,0,0,0,1,74.78731348686964
7,14,8,0,2,3,92.80677768652963
3,11,3,4,6,1,65.356113026161
7,5,1,6,4,0,52.54915038187625
17,11,0,4,2,4,110.32617255281238
4,11,2,2,2,3,69.06428751438266
8,12,6,6,5,4,104.3582454381562
3,8,9,0,3,2,57.59414102278771
16,11,1,0,1,4,101.48317731730451
8,2,8,1,6,2,64.30127716819398
0,13,1,0,1,0,42.29399909464324
19,6,4,8,5,0,101.42406192446468
12,12,7,3,3,3,103.91321254035066
15,5,9,6,8,4,116.60435947123842
12,7,7,4,6,2,90.30322089002433
13,2,2,6,8,2,83.54549311502241
2,2,1,6,6,4,52.74874372611613
5,3,8,0,2,0,38.39959348153742
17,2,2,0,0,0,57.39195077311115
18,8,7,2,0,2,100.25843036586159
4,10,1,9,10,3,90.52785626482235
14,3,2,1,3,0,59.95113028494957
1,5,0,6,0,1,25.932009215998566
9,7,5,2,0,2,64.17334286817326
17,10,6,6,6,4,125.17303867721608
12,12,3,8,10,4,126.09870563508268
4,7,0,0,0,2,42.069935320959715
0,14,2,2,2,2,60.908780567455494
0,4,8,5,1,0,29.467375460277168
17,4,4,8,6,2,102.33858055564392
14,5,5,4,9,2,95.89070392165969
16,9,3,2,4,1,94.3954806711666
10,6,0,7,6,4,87.16122097712403
16,12,4,4,0,0,93.5407226859856
12,12,4,5,1,3,97.84862131458956
0,9,4,1,2,0,38.68744935511586
1,13,5,3,5,4,79.30689284405393
8,6,1,0,1,3,61.68843969119832
2,12,0,3,0,2,54.13009545445648
0,3,1,0,0,1,18.096785625976405
15,5,9,3,7,1,97.21458851536394
5,6,5,1,1,4,62.20220222305032
16,4,4,5,4,4,101.42323024428578
4,4,4,5,7,1,55.30289789797084
4,1,5,7,12,3,65.53443592192842
5,6,9,8,13,3,94.621855555037
2,11,6,7,7,0,69.60239741137843
4,5,8,0,5,2,57.79543063085259
4,10,6,2,6,3,78.95641360994999
9,0,1,5,2,2,48.53062279265445
9,3,5,0,4,4,70.01017471623047
18,2,8,7,15,3,123.26635217198736
16,11,6,5,11,3,128.7526420594019
13,14,1,0,1,3,98.72757843804264
8,2,2,9,4,0,48.29403729037694
13,6,7,1,6,4,97.60474463449205
0,10,8,5,8,1,66.41838889779822
18,11,3,9,5,0,110.09067405265891
12,9,8,7,9,0,96.8959836844219
12,3,1,4,0,3,66.53855454759378
3,14,4,0,2,0,59.16385938857628
0,11,1,9,7,1,64.159147488494
16,7,0,1,1,0,69.38485201100745
7,10,4,3,0,0,58.80427761560602
1,8,1,3,3,3,55.091065599831936
7,2,6,6,5,4,73.72161261972069
6,4,7,1,0,1,45.34702515943689
1,3,1,6,1,3,36.80969204976032
2,13,6,6,4,0,68.51796566044905
17,11,3,6,2,1,102.46529282364662
11,9,0,2,2,2,75.80149548823324
0,14,2,5,4,0,57.91495511480582
11,5,0,5,2,4,79.81673285432818
4,10,4,3,1,0,53.96001192198327
16,9,7,0,2,4,107.33063548190802
15,3,0,8,2,2,81.06250461858112
14,7,8,1,5,3,99.62502916154189
14,2,2,8,5,3,85.71245509267263
4,10,4,7,2,3,74.69824049308018
13,4,8,0,5,1,73.07542636453351
1,12,4,6,8,4,85.21144033718525
10,0,8,9,10,0,70.29072409262758
18,12,9,2,7,1,122.1072330424574
6,14,7,9,7,1,99.37952540042087
5,5,6,9,6,0,58.66426578189124
1,10,0,8,2,2,56.74137340151309
5,4,3,4,7,3,64.57712026220698
17,7,8,2,7,2,108.25639016355225
1,8,9,7,12,2,80.23282903410656
17,7,7,2,0,3,94.99231996289602
14,7,3,6,9,2,97.27756307268444
18,11,0,6,4,1,105.31647272838548
1,13,9,6,13,0,84.9377539544022
19,12,3,0,0,1,99.24309626189911
5,2,2,4,0,1,33.088652262251294
0,3,5,0,5,4,48.1802139375764
14,14,4,6,5,3,122.45206633085576
9,10,4,7,11,3,108.13266659082723
18,3,1,6,3,1,84.37062147732502
16,14,2,0,1,3,107.55075391133954
4,14,5,2,5,4,91.48640746065816
3,13,1,9,5,0,71.22969372611644
9,10,3,2,0,2,72.05093998165601
16,4,1,6,4,3,90.56034701969774
9,12,8,3,1,1,86.92483824381853
16,8,2,2,4,3,99.99088415572666
19,11,9,5,8,1,131.32725240040148
4,8,9,9,14,2,91.95340666719446
1,9,5,5,8,3,71.73826739079341
5,12,0,9,8,2,88.61763316130386
1,11,9,4,10,1,76.78746515954616
12,13,2,5,6,4,111.28890747360583
10,0,7,2,6,4,72.34084163885557
10,13,4,9,0,0,89.5460351932374
15,13,7,4,10,1,122.6938255436602
10,7,1,8,5,1,78.00887199999757
18,13,6,3,4,1,115.51211366414971
14,0,8,1,7,4,87.28656829479267
